ts                  orig_ip           orig_port   resp_ip           resp_port   source_tag     proto   duration   orig_byts          resp_byts          conn_flags  orig_pkts   resp_pkts   uid
1258531203.914398   192.168.1.1       626         224.0.0.1         626      	bro-test       udp     64380      [65535 - 131071)   0                  S0          [2047 - 4095)  0           CPqcyz1qe32MRgTVBa
1258531221.486539   192.168.1.102     68          192.168.1.1       67       	bro-test       udp     0          [255 - 511)        [255 - 511)        SF          [1 - 3)     [1 - 3)       CxZoUtC1XVpUYnej
1258531924.321413   192.168.1.103     68          192.168.1.1       67       	bro-test       udp     0          [255 - 511)        [255 - 511)        SF          [1 - 3)     [1 - 3)     CRKVrc3CyQp3zUyb3b
1258532046.693816   192.168.1.104     68          192.168.1.1       67       	bro-test       udp     0          [255 - 511)        [255 - 511)        SF          [1 - 3)     [1 - 3)     CYHRvL1DjGe145ShH6
1258532143.457078   192.168.1.102     1170        192.168.1.1       53       	bro-test       udp     0          [31 - 63)          [127 - 255)        SF          [1 - 3)     [1 - 3)      CewZxYGxC3llsBlq9
1258532203.657268   192.168.1.104     1174        192.168.1.1       53       	bro-test       udp     0          [31 - 63)          [127 - 255)        SF          [1 - 3)     [1 - 3)      CdKjCpgkz7gVWQKS4
1258532331.365294   192.168.1.1       5353        224.0.0.251       5353     	bro-test       udp     0          [255 - 511)        0                  S0          [1 - 3)     0           CfR2Te132TSqXPJc2e
1258532456.89023    192.168.1.102     1173        192.168.1.1       53       	bro-test       udp     0          [31 - 63)          [255 - 511)        SF          [1 - 3)     [1 - 3)     CklTlb3Tl0we5HFz3l
1258532525.592455   192.168.1.1       5353        224.0.0.251       5353     	bro-test       udp     0          [255 - 511)        0                  S0          [1 - 3)     0           CtKkjB2jrd3fJeEILd
1258532644.128655   192.168.1.1       5353        224.0.0.251       5353     	bro-test       udp     -          0                  0                  S0          [1 - 3)     0           CZHHdL3jURNO4HaPuj
1258533003.551468   192.168.1.102     68          192.168.1.1       67       	bro-test       udp     0          [255 - 511)        [255 - 511)        SF          [1 - 3)     [1 - 3)      CRr9rAEVojaCxrzyg
1258533706.284625   192.168.1.103     68          192.168.1.1       67       	bro-test       udp     0          [255 - 511)        [255 - 511)        SF          [1 - 3)     [1 - 3)     CQRiPp4VKqdkIwOUaj
1258533745.340248   192.168.1.1       5353        224.0.0.251       5353     	bro-test       udp     -          0                  0                  S0          [1 - 3)     0            C62gg030SCYUTws8F
1258533827.650648   192.168.1.104     68          192.168.1.1       67       	bro-test       udp     0          [255 - 511)        [255 - 511)        SF          [1 - 3)     [1 - 3)     CmdLsg3bc49Ytoo5pd
1258534152.297748   192.168.1.102     59040       192.168.1.1       53       	bro-test       udp     0          [31 - 63)          [127 - 255)        SF          [1 - 3)     [1 - 3)     CTwRhf309P2A1OaVZ6
ts                  orig_ip           orig_port   resp_ip           resp_port   source_tag     proto   duration   orig_byts          resp_byts          conn_flags  orig_pkts   resp_pkts   uid
1258534582.490064   192.168.1.103     1190        192.168.1.1       53       	bro-test       udp     0          [31 - 63)          [127 - 255)        SF          [1 - 3)     [1 - 3)     C3Nyum1ELCVDRjMmEe
1258534785.460075   192.168.1.102     68          192.168.1.1       67       	bro-test       udp     0          [255 - 511)        [255 - 511)        SF          [1 - 3)     [1 - 3)     CMX5YV1U2FAT50usa6
1258534856.808007   192.168.1.103     56940       192.168.1.1       53       	bro-test       udp     0          [31 - 63)          [127 - 255)        SF          [1 - 3)     [1 - 3)     CWuWK61cuilea4PX32
1258534970.334447   192.168.1.104     56041       192.168.1.1       53       	bro-test       udp     0          [31 - 63)          [127 - 255)        SF          [1 - 3)     [1 - 3)     CBNpqb3PWQTFc9klib
1258535488.214929   192.168.1.103     68          192.168.1.1       67       	bro-test       udp     0          [255 - 511)        [255 - 511)        SF          [1 - 3)     [1 - 3)     CAhiQ82F261VbPNnRc
1258535609.607942   192.168.1.104     68          192.168.1.1       67       	bro-test       udp     40         [255 - 511)        [511 - 1023)       SF          [1 - 3)     [1 - 3)     CfJM9r37Xbh74YrgCa
1258535650.506019   192.168.1.104     56749       192.168.1.1       53       	bro-test       udp     0          [15 - 31)          [63 - 127)         SF          [1 - 3)     [1 - 3)     Cm8Ktz1OAD8fFofVxf
1258535652.794076   192.168.1.104     52125       192.168.1.1       53       	bro-test       udp     0          [31 - 63)          [127 - 255)        SF          [1 - 3)     [1 - 3)     CFQyrQ2B5qEuvV81Pg
1258535655.387448   192.168.1.104     64790       192.168.1.1       53       	bro-test       udp     0          [31 - 63)          [127 - 255)        SF          [1 - 3)     [1 - 3)     CWUHFl4UmbNgaL3P81
1258535696.159584   192.168.1.102     1187        192.168.1.1       53       	bro-test       udp     0          [31 - 63)          [127 - 255)        SF          [1 - 3)     [1 - 3)     CeDNFe1T6Dan69olr9
1258535710.855364   192.168.1.102     1196        192.168.1.1       53       	bro-test       udp     0          [31 - 63)          [127 - 255)        SF          [1 - 3)     [1 - 3)     CWmzuG1B1dGvxdkWcg
